cifar10,64,increase_batch_center_similarity,0.005,0.8150701369460561,0.0012742497229141663
cifar10,64,increase_batch_center_similarity,0.005,0.8150701369460561,0.0012742497229141663
cifar10,64,increase_batch_center_similarity,0.0075,0.8157712620792145,0.004303897785418984
cifar10,64,increase_batch_center_similarity,0.01,0.8111763121537905,0.003964660182673389
cifar10,64,increase_batch_center_similarity,0.025,0.815947463323335,0.002498257858175547
cifar10,64,increase_batch_center_similarity,0.05,0.8064366592171881,0.001309890634702604
cifar10,64,increase_batch_center_similarity,0.075,0.8099159880989377,0.0023665647083668784
cifar10,64,increase_batch_center_similarity,0.1,0.8179373204684806,0.002123457635338279
cifar10,64,increase_batch_center_similarity,0.25,0.8111283374795499,0.0018675643818859377
cifar10,64,increase_batch_center_similarity,0.5,0.8168436796698293,0.0021165103883602774
cifar10,64,increase_batch_center_similarity,0.75,0.8174257766345481,0.004062354215936146
cifar10,64,increase_batch_center_similarity,1.0,0.8173265619683028,0.0019836161705313127
coco,64,increase_batch_center_similarity,1.0,0.704432651773605,0.006521217798987742
coco,64,increase_batch_center_similarity,1.25,0.7011988251440304,0.009215335742596076
coco,64,increase_batch_center_similarity,1.5,0.7017232280327836,0.0064269685462339105
coco,64,increase_batch_center_similarity,1.75,0.6992316581766442,0.005549814348833238
coco,64,increase_batch_center_similarity,2.0,0.7008490489503767,0.0069179406814386165
coco,64,increase_batch_center_similarity,2.25,0.7051586480026805,0.006492888032859543
coco,64,increase_batch_center_similarity,2.5,0.7006067971166121,0.008025153399295912
cifar10,64,increase_batch_center_distance,0.025,0.8104612317938225,0.0027930505287045585
cifar10,64,increase_class_center_distance,0.025,0.8141814599926993,0.0014195360550299922
cifar10,48,increase_batch_center_distance,0.025,0.8078565733326389,0.0022648739340078244
cifar10,48,increase_class_center_distance,0.025,0.8087498099726135,0.0021347603892029102
cifar10,32,increase_batch_center_distance,0.025,0.8148905425633416,0.00440796113935487
cifar10,32,increase_class_center_distance,0.025,0.8068724901023068,0.0015560675126122304
coco,64,Baseline | Focused,0.0,0.7157181017600248,0.004525583497163234
coco,64,reduce_batch_center_distance | Focused,0.025,0.7303408653542034,0.006135291008397715
